itemlink_URL,itemlink,Precio,itemparking,itemdetail,itemdetail2
https://www.idealista.com/inmueble/105888008/,"
Piso en calle Varela Silvari, 16, Ciudad Vieja - Centro, a Coruña
",340.000€,Garaje incluido,2 hab.,80 m²
https://www.idealista.com/inmueble/106385399/,"
Dúplex en avenida de Pedralonga, Someso - Matogrande, a Coruña
",190.000€,Garaje incluido,2 hab.,103 m²
https://www.idealista.com/inmueble/104490894/,"
Chalet adosado en Xubias de Arriba, Eirís, a Coruña
",600.000€,Garaje incluido,5 hab.,495 m²
https://www.idealista.com/inmueble/105317598/,"
Dúplex en calle Vicente Aleixandre, Los Castros - Castrillón, a Coruña
",259.950€,Garaje incluido,3 hab.,101 m²
https://www.idealista.com/inmueble/104983770/,"
Piso en calle Juan Flórez, Juan Flórez-San Pablo, a Coruña
",780.000€,Garaje incluido,5 hab.,265 m²
https://www.idealista.com/inmueble/99888595/,"
Piso en calle Tabernas, Ciudad Vieja - Centro, a Coruña
",700.000€,Garaje incluido,2 hab.,91 m²
https://www.idealista.com/inmueble/104514535/,"
Piso en calle Alfredo Vicenti, Juan Flórez-San Pablo, a Coruña
",714.000€,Garaje incluido,4 hab.,178 m²
https://www.idealista.com/inmueble/101841675/,"
Piso en avenida de Pedro Barrié de la Maza, Monte Alto - Zalaeta - Atocha, a Coruña
",840.000€,Garaje incluido,4 hab.,165 m²
https://www.idealista.com/inmueble/99594012/,"
Casa o chalet independiente en camino a Regueira, 9, Eirís, a Coruña
",385.000€,Garaje incluido,5 hab.,250 m²
https://www.idealista.com/inmueble/106031267/,"
Piso en avenida Finisterre, Agra del Orzán - Ventorrillo, a Coruña
",142.000€,,2 hab.,78 m²
https://www.idealista.com/inmueble/106254240/,"
Piso en calle Fernando Macías, 7, Juan Flórez-San Pablo, a Coruña
",785.000€,Garaje incluido,5 hab.,203 m²
https://www.idealista.com/inmueble/105994792/,"
Piso en calle do Socorro, Monte Alto - Zalaeta - Atocha, a Coruña
",169.000€,,2 hab.,54 m²
https://www.idealista.com/inmueble/105464084/,"
Estudio en calle j Pascual Lopez Corton, Someso - Matogrande, a Coruña
",176.000€,Garaje incluido,38 m²,Planta 3ª exterior con ascensor
https://www.idealista.com/inmueble/106202897/,"
Dúplex en ronda de Outeiro, Someso - Matogrande, a Coruña
",610.000€,,4 hab.,178 m²
https://www.idealista.com/inmueble/106101483/,"
Piso en avenida Linares Rivas, Ensanche, a Coruña
",750.000€,Garaje incluido,5 hab.,146 m²
https://www.idealista.com/inmueble/103916446/,"
Piso en ronda de Outeiro, 204, Sagrada Familia, a Coruña
",225.000€,,3 hab.,90 m²
https://www.idealista.com/inmueble/99927998/,"
Piso en avenida Linares Rivas, Ensanche, a Coruña
",1.500.000€,Garaje incluido,5 hab.,275 m²
https://www.idealista.com/inmueble/105206411/,"
Dúplex en pozo Ranchos, Falperra-Santa Lucía, a Coruña
",239.900€,,2 hab.,60 m²
https://www.idealista.com/inmueble/105815224/,"
Piso en calle Ría do Burgo, Someso - Matogrande, a Coruña
",170.000€,,3 hab.,85 m²
https://www.idealista.com/inmueble/99925105/,"
Piso en calle Real, Ciudad Vieja - Centro, a Coruña
",390.000€,,2 hab.,94 m²
https://www.idealista.com/inmueble/102677541/,"
Piso en calle José Pascual López-Cortón, Someso - Matogrande, a Coruña
",480.000€,Garaje incluido,4 hab.,200 m²
https://www.idealista.com/inmueble/105955053/,"
Piso en calle Concepción Arenal, Cuatro Caminos - Plaza de la Cubela, a Coruña
",425.000€,Garaje incluido,5 hab.,138 m²
https://www.idealista.com/inmueble/105764029/,"
Piso en calle Ángel Senra, Os Mallos, a Coruña
",120.000€,,2 hab.,57 m²
https://www.idealista.com/inmueble/106330356/,"
Piso en travesía Adelaida Muro, Monte Alto - Zalaeta - Atocha, a Coruña
",150.000€,,3 hab.,73 m²
https://www.idealista.com/inmueble/100817436/,"
Piso en plaza de Lugo, Ensanche, a Coruña
",635.000€,,6 hab.,220 m²
https://www.idealista.com/inmueble/101834778/,"
Casa o chalet independiente en calle roma, Elviña - a Zapateira, a Coruña
",890.000€,Garaje incluido,4 hab.,398 m²
https://www.idealista.com/inmueble/104083381/,"
Casa o chalet independiente en calle Paris, Elviña - a Zapateira, a Coruña
",830.000€,Garaje incluido,5 hab.,423 m²
https://www.idealista.com/inmueble/105708375/,"
Piso en Falperra-Santa Lucía, a Coruña
",165.000€,,2 hab.,77 m²
https://www.idealista.com/inmueble/105119555/,"
Piso en Juan Flórez-San Pablo, a Coruña
",470.000€,,4 hab.,124 m²
https://www.idealista.com/inmueble/103657864/,"
Casa o chalet independiente en calle Roma, Elviña - a Zapateira, a Coruña
",590.000€,Garaje incluido,6 hab.,502 m²
https://www.idealista.com/inmueble/92269870/,"
Piso en calle Tabernas, Ciudad Vieja - Centro, a Coruña
",685.000€,,2 hab.,140 m²
https://www.idealista.com/inmueble/106030521/,"
Piso en calle Juana de Vega, Ensanche, a Coruña
",1.190.000€,Garaje incluido,4 hab.,222 m²
https://www.idealista.com/inmueble/105599551/,"
Piso en avenida Ferrocarril, Os Mallos, a Coruña
",240.000€,Garaje incluido,2 hab.,72 m²
https://www.idealista.com/inmueble/100007330/,"
Ático en Linares Rivas, Ensanche, a Coruña
",1.800.000€,Garaje incluido,5 hab.,300 m²
https://www.idealista.com/inmueble/98280379/,"
Piso en plaza de Lugo, Ensanche, a Coruña
",750.000€,Garaje incluido,4 hab.,261 m²
https://www.idealista.com/inmueble/105729057/,"
Piso en Cuatro Caminos - Plaza de la Cubela, a Coruña
",270.000€,Garaje incluido,3 hab.,111 m²
https://www.idealista.com/inmueble/96536693/,"
Dúplex en calle José Pascual López-Cortón, Someso - Matogrande, a Coruña
",480.000€,Garaje incluido,4 hab.,200 m²
https://www.idealista.com/inmueble/100738100/,"
Piso en plaza da Gaiteira, Los Castros - Castrillón, a Coruña
",340.000€,Garaje incluido,3 hab.,100 m²
https://www.idealista.com/inmueble/105823453/,"
Piso en Feáns, Mesoiro, a Coruña
",95.000€,Garaje incluido,1 hab.,41 m²
https://www.idealista.com/inmueble/106370478/,"
Piso en calle Juan Flórez, Falperra-Santa Lucía, a Coruña
",440.000€,Garaje incluido,2 hab.,70 m²
https://www.idealista.com/inmueble/106404054/,"
Piso en Los Castros - Castrillón, a Coruña
",293.000€,,4 hab.,120 m²
https://www.idealista.com/inmueble/106404083/,"
Piso en Eirís, a Coruña
",265.000€,,2 hab.,95 m²
https://www.idealista.com/inmueble/106340499/,"
Piso en calle San Diego, Cuatro Caminos - Plaza de la Cubela, a Coruña
",360.000€,,3 hab.,118 m²
https://www.idealista.com/inmueble/106361135/,"
Piso en calle Valencia, Monte Alto - Zalaeta - Atocha, a Coruña
",159.000€,,1 hab.,44 m²
https://www.idealista.com/inmueble/105759715/,"
Piso en calle Miramar Castrillón, Los Castros - Castrillón, a Coruña
",155.000€,,3 hab.,68 m²
https://www.idealista.com/inmueble/105890120/,"
Piso en calle Andrés Antelo, Monte Alto - Zalaeta - Atocha, a Coruña
",219.000€,,2 hab.,55 m²
https://www.idealista.com/inmueble/101583774/,"
Piso en Ensanche, a Coruña
",595.000€,,5 hab.,190 m²
https://www.idealista.com/inmueble/106276851/,"
Piso en calle Lázaro Cárdenas, 14, Eirís, a Coruña
",295.000€,Garaje incluido,4 hab.,126 m²
https://www.idealista.com/inmueble/105432614/,"
Dúplex en avenida Sardiñeira, Os Mallos, a Coruña
",239.000€,,3 hab.,117 m²
https://www.idealista.com/inmueble/104898771/,"
Dúplex en calle Vista, 22, Ciudad Vieja - Centro, a Coruña
",250.000€,,1 hab.,89 m²
https://www.idealista.com/inmueble/104734964/,"
Piso en calle Manuel Deschamps, 1, Riazor - Los Rosales, a Coruña
",145.000€,,3 hab.,70 m²
https://www.idealista.com/inmueble/104606776/,"
Piso en plaza Pontevedra, 5, Ensanche, a Coruña
",450.000€,,4 hab.,149 m²
https://www.idealista.com/inmueble/106061089/,"
Piso en calle Lázaro Cárdenas, Eirís, a Coruña
",295.000€,Garaje incluido,4 hab.,133 m²
https://www.idealista.com/inmueble/106278773/,"
Piso en calle Bailén, Ciudad Vieja - Centro, a Coruña
",520.000€,,3 hab.,158 m²
https://www.idealista.com/inmueble/105233422/,"
Piso en ronda de Outeiro, Os Mallos, a Coruña
",161.000€,,2 hab.,75 m²
